Gene Symbol	Gene ID	logFC	FDR corrected Pvalue
RHCG	51458	-0.532213589	0.202314049
EIF2B2	8892	-0.137740262	0.202320679
ZRSR2	8233	-0.15250692	0.202443736
C19orf76	199800	-0.302321117	0.202678107
C17orf65	339201	-0.152826386	0.203098863
TADA3	10474	-0.12802417	0.203175826
CD109	135228	0.338970513	0.203301041
PREB	10113	-0.122244034	0.203307629
HACE1	57531	-0.180362171	0.20335835
RAB4A	5867	-0.132537473	0.203406446
RAP1A	5906	-0.120821248	0.203502555
CPT1B	1375	-0.262509269	0.203618348
SH3TC2	79628	0.384845641	0.203727251
NIPSNAP3A	25934	-0.166059478	0.203747394
FRYL	285527	0.138495647	0.203747394
COX10	1352	-0.125691912	0.203749261
ARMCX3	51566	0.132779186	0.203749261
RAB35	11021	-0.106397462	0.203749429
MST4	51765	-0.23376986	0.2038604
GLYR1	84656	0.142517931	0.203944122
ITLN1	55600	-0.843276294	0.204208219
ZNF267	10308	-0.125552501	0.204233148
ATP13A2	23400	0.141880756	0.204247597
HIST1H3D	8351	-0.325532776	0.204253513
MSH6	2956	-0.152456174	0.204321103
CASKIN2	57513	0.181269485	0.204442902
PQLC3	130814	-0.172366815	0.204568677
ZAK	51776	-0.206837944	0.204568677
BTF3	689	-0.174613464	0.204608489
SNAI3	333929	-0.218584245	0.204855899
UQCRHL	440567	-0.306619802	0.204855899
MALL	7851	0.347237234	0.205010756
SLC23A2	9962	0.167965379	0.205242791
PWP1	11137	-0.114668305	0.20527773
CYP2C8	1558	0.436452642	0.205360688
BRD8	10902	-0.131699947	0.205360688
TMTC2	160335	0.20210126	0.205360688
ZBTB25	7597	-0.147491434	0.205494857
F2RL3	9002	0.324166292	0.205597781
MAGI3	260425	-0.188252926	0.205650786
BIRC6	57448	0.130717093	0.205650786
C12orf72	254013	-0.18367095	0.205868046
GOLT1B	51026	0.19310332	0.205868046
SLC9A8	23315	0.144078725	0.20606331
CADPS	8618	0.537400499	0.20606331
NANOS3	342977	0.296668101	0.206173364
C2orf3	6936	-0.118142598	0.206185919
SNX12	29934	-0.125837257	0.206185919
ALDH2	217	-0.2486326	0.206381829
CDCA4	55038	-0.192191325	0.206385927
POLE	5426	-0.172695734	0.206610501
MERTK	10461	-0.183289822	0.207005509
CYB561	1534	-0.157187703	0.207252186
C5orf35	133383	-0.227335882	0.20740199
YLPM1	56252	0.127509025	0.207418426
LRRC24	441381	0.302952202	0.207437862
DUSP6	1848	0.268656726	0.207437862
WNT5B	81029	0.381790669	0.20756299
NBPF16	728936	0.410597953	0.20756299
PRKAA2	5563	-0.268656002	0.207619926
ARG2	384	-0.184396795	0.207674998
ETV2	2116	-0.231981639	0.207674998
GCSH	2653	-0.250160978	0.207674998
ATRX	546	0.129535979	0.207760345
CYTSA	23384	0.14151955	0.207850817
USP12	219333	0.148046537	0.207850817
METTL14	57721	-0.129961834	0.208014056
COIL	8161	-0.133788124	0.208014056
GPR62	118442	-0.361909008	0.208298579
HOXA7	3204	0.496868348	0.208298579
SLK	9748	0.150904878	0.208358406
SH2B3	10019	0.154415444	0.208358406
UROS	7390	-0.1638998	0.208408335
SEPT6	23157	-0.220081332	0.208502497
TXNRD2	10587	-0.146381155	0.208502497
CRIP1	1396	-0.329789893	0.20857924
GPR158	57512	-0.515998151	0.20865726
NAA15	80155	-0.12383589	0.208775966
TMEM41A	90407	-0.136090514	0.208799262
SLC35E2	728661	0.168232619	0.208914186
ANKHD1-EIF4EBP3	404734	0.190313813	0.208989938
RBM3	5935	-0.218612064	0.209166249
RAB3IP	117177	-0.175988423	0.209302844
PLA2G6	8398	-0.233290082	0.209302844
SMYD5	10322	-0.107697053	0.209303527
PDZD8	118987	0.152341205	0.209352796
ZBTB48	3104	-0.128231432	0.209719805
SH3BGRL2	83699	0.225424094	0.209733702
GPR156	165829	-0.309384924	0.210131104
C9orf16	79095	-0.182936972	0.210346197
PRR11	55771	-0.201929866	0.210657317
NFS1	9054	-0.139047066	0.210705451
KIF6	221458	-0.310568944	0.210726326
PIBF1	10464	0.1519288	0.210777326
HOXD10	3236	0.414305371	0.210887478
TMEM182	130827	-0.166538247	0.210936701
GINS4	84296	-0.217602809	0.210945024
PRR18	285800	-0.53063122	0.21103325
UBXN6	80700	-0.138080685	0.211073195
ATP10D	57205	0.202354433	0.211113084
SDCBP	6386	-0.131913007	0.211168911
TTC21A	199223	-0.265857772	0.211229063
ANXA4	307	-0.213401592	0.211237075
F11R	50848	-0.129123921	0.211422765
PBX4	80714	-0.22325154	0.211422765
FSD1	79187	-0.489173478	0.2114989
TTC5	91875	-0.177200686	0.211561569
FAM127C	441518	0.178970249	0.21183798
LQK1	642946	-0.29518843	0.211999366
HBS1L	10767	-0.137484462	0.212069014
FAM131A	131408	-0.14996369	0.212300614
SP1	6667	-0.117958644	0.212391139
LMCD1	29995	0.20871726	0.212391139
NCAPG2	54892	-0.168496336	0.212648385
HTT	3064	0.145903226	0.212679671
KIF17	57576	-0.264675001	0.212828
MBNL1	4154	-0.100534704	0.212987607
FBXW4	6468	-0.135846576	0.213004059
TFIP11	24144	-0.128431222	0.213028525
UQCRH	7388	-0.294544757	0.213028525
EGFL8	80864	-0.277389075	0.213028525
ASB6	140459	-0.137267361	0.213109036
DDX54	79039	-0.124168649	0.213110103
POLR1A	25885	0.137204415	0.213172691
ARSG	22901	-0.236268893	0.213524893
GAL3ST2	64090	0.346712478	0.213543994
ZNF830	91603	-0.137819592	0.213543994
PKHD1	5314	-0.578117977	0.213550267
TAF5L	27097	-0.107027673	0.213603085
CHST10	9486	0.16684456	0.213738572
USP31	57478	-0.166894145	0.213751198
EXOSC7	23016	-0.128871801	0.214079832
TBC1D10A	83874	-0.173354277	0.214356926
ASS1	445	-0.21689781	0.214694596
ATP8B3	148229	0.387844305	0.214694596
NUPL1	9818	0.129001182	0.214862696
HNF1B	6928	0.751982028	0.214862696
SNORA7B	677797	-0.299128317	0.214917406
PI4K2A	55361	0.114703464	0.214929246
PER3	8863	0.218392043	0.214933196
C7orf27	221927	-0.151315562	0.214959856
BMI1	648	-0.174760539	0.215065667
ALOX5	240	-0.252064866	0.21509536
REPS2	9185	0.212178101	0.215145559
ZNF750	79755	0.470732167	0.215192705
FAM151B	167555	0.219162632	0.215297448
ZNF223	7766	0.232672003	0.215297448
DRD4	1815	0.389273803	0.215297448
GFER	2671	-0.151020064	0.215354109
MRPL50	54534	-0.153307281	0.215445702
SYT11	23208	0.222510325	0.215671361
ZNF843	283933	0.258053229	0.21572376
HEATR7A	727957	0.197368038	0.21598158
DNASE1L1	1774	-0.151352976	0.216337816
GPR135	64582	0.256969617	0.216441665
KLK11	11012	-0.383107887	0.216451586
ITPKB	3707	0.180006041	0.216570111
FAM81B	153643	-0.563929381	0.216570111
FBXO31	79791	0.127780683	0.216570111
CENPF	1063	-0.206489614	0.216575424
RUNDC3A	10900	0.419376782	0.216673748
TCF3	6929	0.14115614	0.216860563
MYOF	26509	0.21761552	0.216873486
RPL31	6160	-0.198049353	0.216890161
IL1RL2	8808	-0.315540314	0.217065375
BFSP1	631	0.298384921	0.217195861
METAP2	10988	-0.115119457	0.217235423
NUBP2	10101	-0.159974704	0.217235423
DTX2	113878	-0.133129604	0.217462067
ASB8	140461	-0.102456414	0.217462067
FAM176B	55194	0.23039836	0.217652026
GIMAP1	170575	-0.205909618	0.217907366
ZCCHC9	84240	-0.148238538	0.21796588
FBXO27	126433	0.336386243	0.21796588
C14orf80	283643	-0.203440644	0.21796588
ZNF286B	729288	0.247754777	0.21796588
TMEM216	51259	-0.145417968	0.21796588
TBC1D12	23232	0.148788404	0.217974144
LPO	4025	-0.421331123	0.218015653
EXOG	9941	-0.146302492	0.218226567
ITGAX	3687	-0.222142194	0.2183048
ANKS1A	23294	0.165000857	0.218328044
TBL1XR1	79718	-0.152408995	0.218344293
SCRIB	23513	0.185302705	0.218389977
ELMOD3	84173	-0.123074625	0.218469042
KREMEN1	83999	0.222146543	0.218484027
ZNF343	79175	-0.149567688	0.218893224
DENND2C	163259	0.225632815	0.219091381
TSPYL2	64061	0.177593097	0.219133792
POLD4	57804	-0.172146566	0.219141525
TBC1D3C	414060	-0.318894948	0.219169423
CARD8	22900	0.132515657	0.219303352
KLHDC8B	200942	-0.163698409	0.2193343
ACO1	48	0.156421756	0.2193343
FBP1	2203	-0.277283692	0.219456384
SLC25A18	83733	-0.34541999	0.219456384
SNX22	79856	-0.175529837	0.219603193
BBX	56987	-0.12714816	0.219771467
ATF4	468	-0.127363747	0.219798296
YWHAE	7531	-0.149847359	0.219996539
TTC18	118491	-0.323066789	0.22012207
SH3BGRL3	83442	-0.149015649	0.220136455
ALDH4A1	8659	-0.19636251	0.220664916
ATP11B	23200	0.153377121	0.220690464
TMEM214	54867	0.119143465	0.220739802
BAT2L2	23215	0.119611123	0.221048553
CYP4F3	4051	0.447785679	0.221361984
ZNF568	374900	-0.185601072	0.221460013
DDX55	57696	-0.138482888	0.221526323
INSR	3643	0.175422116	0.221557245
EMP2	2013	-0.246494428	0.221703088
MGLL	11343	0.254420098	0.221703088
KIF13A	63971	0.172959843	0.222000382
DSCR6	53820	-0.424519093	0.222076492
AMACR	23600	0.146903282	0.222695974
KIAA1731	85459	-0.148051622	0.222699625
NUCB2	4925	-0.189293813	0.222699625
ZMYM6	9204	-0.128196823	0.222716358
UBE2I	7329	-0.127187378	0.222756549
RBP4	5950	-0.495370403	0.222871344
NBR1	4077	0.123504659	0.222871344
ING4	51147	-0.178302352	0.222893216
HOXB13	10481	0.922913705	0.222998574
NCRNA00171	80862	-0.194287862	0.222998574
CRELD1	78987	-0.142667852	0.222998574
KIAA1468	57614	-0.166258452	0.223265524
UBE2Q1	55585	-0.099187492	0.223431729
CAPNS1	826	-0.148557052	0.223435421
TNK2	10188	0.184860184	0.223514051
FBXO7	25793	-0.136004673	0.223822971
ADAMTS15	170689	0.345706571	0.224051089
SLC4A8	9498	0.253250443	0.224184307
DPCD	25911	-0.172230087	0.224184307
DHX29	54505	0.132776732	0.224402356
PAF1	54623	0.205313228	0.224402356
ITCH	83737	0.093868714	0.224402356
TADA2B	93624	0.124431185	0.224882805
SNF8	11267	-0.152914252	0.224909446
SH3BGRL	6451	0.133456299	0.224909446
TPPP3	51673	0.373857617	0.224909446
CX3CR1	1524	-0.336722193	0.224942885
MAPK8	5599	0.1278726	0.225031833
MORN5	254956	-0.539548531	0.22510705
CHI3L2	1117	-0.578053686	0.225213395
C16orf58	64755	-0.113705847	0.225279224
MSLN	10232	-0.284467612	0.225279224
BRIP1	83990	-0.231062211	0.225279224
ZNF134	7693	0.17317091	0.225367338
NAT9	26151	-0.142520411	0.225410222
TATDN2	9797	-0.117191981	0.225484723
NCRNA00152	112597	0.230682319	0.225753395
DPH3	285381	-0.133301848	0.225753395
VLDLR	7436	0.226866312	0.225881326
DMAP1	55929	-0.112020683	0.225881326
FLJ39582	439931	-0.281530453	0.225998925
EHMT2	10919	-0.139981637	0.226018357
CCDC76	54482	-0.140552673	0.226029307
WWP2	11060	-0.131031676	0.226114796
C3AR1	719	-0.218247124	0.226114796
ARHGEF12	23365	0.145647476	0.226118857
CUEDC2	79004	-0.133103154	0.226205115
CD97	976	-0.218805011	0.226272156
TP73	7161	-0.359544442	0.226374366
LNX1	84708	0.21999592	0.226374366
MAPRE3	22924	0.210799614	0.226502862
OBFC1	79991	0.136227663	0.226533692
RPL19	6143	-0.186282209	0.226594556
CTCFL	140690	-0.495336642	0.226619288
ELF4	2000	-0.162458619	0.226717188
IGFBP2	3485	0.263178018	0.226877074
ICA1L	130026	-0.214770836	0.226914082
ZBTB20	26137	0.22501574	0.226950776
SPDYE5	442590	0.247526957	0.226950776
ESYT3	83850	-0.284104249	0.227010116
ZDHHC7	55625	0.116710664	0.227024149
RGP1	9827	-0.143057014	0.227024149
LRRC25	126364	-0.205239468	0.227109782
CAD	790	0.147721432	0.227349256
PPP1R7	5510	-0.116464762	0.227402991
POTEF	728378	0.353152001	0.227486579
S100P	6286	-0.536885877	0.227825612
CLIP1	6249	0.131209324	0.227846764
AP2A2	161	0.118349727	0.227846764
FCRL6	343413	-0.463437412	0.227846764
EDA	1896	0.265864768	0.227878903
HSP90B1	7184	-0.124181074	0.227878903
HGS	9146	-0.125492464	0.227885702
ZNF408	79797	-0.112686191	0.227964957
ZNF720	124411	0.125942215	0.227989228
FAM21B	55747	-0.141175698	0.228082682
CCT4	10575	-0.127129845	0.228082682
VARS2	57176	-0.150531928	0.228132342
RPS3	6188	-0.221168034	0.228199994
MKI67	4288	-0.214602083	0.228206055
SLC39A9	55334	0.119499168	0.228455726
MREG	55686	-0.193470712	0.228594128
CCPG1	9236	0.140495263	0.228636403
SMARCE1	6605	0.118402983	0.228699731
SDCBP2	27111	-0.295481489	0.228762187
WIPF1	7456	0.149275572	0.228762187
MYO5C	55930	-0.192762287	0.22892185
BBC3	27113	-0.182886721	0.229243945
LNX2	222484	0.137615494	0.229407765
VIPR1	7433	-0.303325572	0.229432049
MAGED1	9500	0.167500474	0.229503157
FBXW7	55294	0.128606514	0.229503157
NSUN5P1	155400	-0.194347317	0.229721394
DAGLA	747	0.22062444	0.229721394
RRS1	23212	-0.144139787	0.229902658
NET1	10276	0.182411391	0.22990299
EPHA10	284656	-0.431214202	0.230140807
PPM1M	132160	-0.146199281	0.230140843
PIAS3	10401	0.156905366	0.230160094
METRNL	284207	0.166919956	0.230163458
YBX2	51087	-0.316049844	0.230228198
DGKH	160851	0.280782567	0.230381363
DGCR11	25786	0.213889068	0.230710223
OSGEP	55644	-0.158842133	0.230734037
MAFK	7975	0.168060292	0.230783621
C6orf35	729515	-0.132104434	0.231049914
TMEM120A	83862	-0.163900583	0.231245395
TMTC3	160418	0.127131564	0.23128354
PNKP	11284	-0.136562919	0.231491716
SLC27A1	376497	0.194534877	0.231772295
PNPLA6	10908	0.164550305	0.231800932
KCNA3	3738	-0.331358018	0.231800932
AQP5	362	-0.390938826	0.231800932
FRS2	10818	0.136754246	0.231904697
SLC39A7	7922	0.132849704	0.231904697
LRDD	55367	-0.178135861	0.232280253
TPBG	7162	0.271901024	0.232312993
CD163	9332	0.241116438	0.232430855
PLCD3	113026	0.252998057	0.232430855
PACS2	23241	0.147840083	0.232454033
RUNX3	864	0.37699635	0.232454033
MAEA	10296	-0.135773909	0.232454033
KHNYN	23351	-0.139666399	0.232647356
LMBRD2	92255	-0.181213667	0.232881212
BMS1P5	399761	0.193655019	0.233102367
RABAC1	10567	-0.184626896	0.233102367
RHOA	387	-0.099681909	0.233102367
PRRG1	5638	0.235473514	0.233117219
CCNA1	8900	-0.392987141	0.233119285
P2RY8	286530	-0.251659825	0.233249643
ZSCAN21	7589	-0.118703416	0.233331418
FAM108C1	58489	0.172323099	0.233691264
DIRAS3	9077	0.352843805	0.233691264
VN1R1	57191	0.273817376	0.233736389
STAP2	55620	-0.242789373	0.233739879
ARHGAP8	23779	-0.18105436	0.233941773
FMO2	2327	0.487251955	0.233941773
RNF185	91445	-0.143290679	0.234009135
FANCM	57697	-0.152971083	0.234038636
RTEL1	51750	0.184805534	0.234077318
CBX3	11335	-0.137628812	0.234077318
LONP2	83752	-0.144822851	0.234077318
HMGXB3	22993	0.116920919	0.234345602
PHF23	79142	-0.108141372	0.234977013
CCRN4L	25819	0.182698488	0.235222523
FAM200A	221786	-0.120959746	0.235258805
FADS2	9415	0.296532397	0.235327027
CHMP6	79643	-0.143237427	0.235382032
PPIC	5480	0.204960059	0.235447818
YBX1	4904	-0.172092549	0.23547809
HADHB	3032	-0.10306765	0.235559633
CASP7	840	-0.150427908	0.235717186
HSBP1L1	440498	-0.213496024	0.235762752
PRKAB1	5564	-0.144022756	0.235762752
RNASEH2B	79621	-0.140435268	0.235762752
PHKB	5257	-0.131152846	0.235762752
HYDIN	54768	0.278041731	0.235965443
STK19	8859	-0.129690198	0.236088235
NUDT15	55270	0.159537915	0.236117351
MAP4K3	8491	0.113565941	0.236117351
TRAF1	7185	-0.177092935	0.236117351
USP49	25862	0.238608333	0.236173789
ZNF696	79943	0.174954719	0.236178814
HSD17B7P2	158160	-0.253480496	0.236636505
TTC23	64927	0.139381384	0.236848714
C4orf10	317648	-0.159739176	0.236875512
EPHA1	2041	0.259635856	0.236931335
CDYL2	124359	0.228640441	0.23721412
HAUS5	23354	-0.156185118	0.237292077
C5orf25	375484	-0.131989347	0.237292077
WDR89	112840	-0.118255876	0.237294762
IQCH	64799	-0.21667665	0.237294762
LETM1	3954	-0.146099877	0.237857407
LSM5	23658	-0.148773139	0.237886179
C1orf87	127795	-0.661905975	0.237926115
COX11	1353	-0.139844468	0.237926115
CHP	11261	0.122874376	0.237991187
EPHX1	2052	-0.208488886	0.237991187
SLC18A3	6572	0.587320255	0.238157524
IPCEF1	26034	-0.287638403	0.238209802
MAP7D1	55700	0.147734489	0.238247921
TRMT11	60487	-0.164325039	0.238260439
FAM161B	145483	0.159114395	0.238485881
KCTD3	51133	0.123657828	0.238502906
CSK	1445	-0.129579252	0.238504813
CPT1A	1374	-0.15215687	0.238765018
BRCA2	675	-0.205053037	0.238861152
DOT1L	84444	0.151296347	0.238883802
CCDC45	90799	-0.141210637	0.238883802
GSTM1	2944	-0.842169488	0.238883802
HIST1H2BN	8341	-0.269127612	0.238883802
PLEKHA7	144100	0.183426069	0.238950505
C1orf54	79630	-0.189249608	0.238982819
ANXA3	306	0.261794336	0.238990474
PPM1G	5496	-0.108679165	0.239095604
C19orf22	91300	-0.128149026	0.239156098
RHOF	54509	0.260758639	0.239293897
PIK3C2B	5287	0.182939977	0.239332789
NPR3	4883	0.44317733	0.23936131
UBAC2	337867	0.131462139	0.239394336
TMEM86A	144110	-0.159911496	0.239400485
CRTC3	64784	0.144166688	0.239400485
TMEM88B	643965	0.398380492	0.239427362
CFP	5199	0.278875371	0.239478348
MPV17L2	84769	-0.16657423	0.239657337
TSPAN8	7103	-0.56034615	0.239657337
ABCF2	10061	-0.12715388	0.239784808
LPIN1	23175	-0.170981976	0.239784808
SACM1L	22908	-0.10693114	0.239813572
C2orf76	130355	-0.187767279	0.239979033
SCML4	256380	-0.4187409	0.240045963
RGMA	56963	0.263466424	0.240135717
MRPS2	51116	-0.152948988	0.240545914
FAM54B	56181	-0.111636754	0.240552393
ARHGAP30	257106	-0.173221355	0.240587909
FAM117A	81558	-0.132277114	0.240761107
KCNN3	3782	-0.28803729	0.240761107
FMNL2	114793	0.149448842	0.240761107
LAIR1	3903	-0.197422932	0.240764812
S100A14	57402	-0.29417182	0.240855061
TLK1	9874	-0.103335897	0.241134652
CTSA	5476	-0.134192349	0.241320475
JHDM1D	80853	0.160051017	0.241513456
BDNF	627	0.331290576	0.241594122
DEM1	64789	-0.187175534	0.241610906
JARID2	3720	0.167702236	0.241610906
GLOD4	51031	-0.146197995	0.241722242
OSBPL2	9885	0.113611725	0.241722242
ATAD2	29028	-0.180475363	0.241722242
GZF1	64412	0.10695513	0.241722242
C14orf138	79609	-0.138542172	0.241722242
DOK1	1796	-0.146511258	0.241722242
CXCL6	6372	-0.500327069	0.241821478
GPR143	4935	-0.317748925	0.242000516
ZBTB16	7704	-0.4543925	0.242054589
TOB1	10140	-0.161004659	0.242121178
BTN2A3	54718	0.198077607	0.242558754
PPP3CC	5533	0.148632134	0.242600077
TKTL1	8277	-0.854800981	0.242680486
PREX1	57580	0.193127842	0.242706593
ATF3	467	0.324390916	0.24279744
HSFX2	100130086	-0.209777414	0.24287717
PRR4	11272	-0.175879359	0.24287717
TMEM190	147744	0.57329312	0.243080805
RAMP1	10267	-0.328156294	0.243108576
GNAS	2778	0.129869556	0.243377043
KIAA0556	23247	0.130328677	0.243430475
ZNF160	90338	0.153935769	0.243586046
AIM1L	55057	0.293987578	0.243600038
CEP290	80184	0.17966789	0.243904012
ITM2B	9445	0.152428251	0.243904012
ANP32B	10541	-0.11836999	0.243940567
THUMPD1	55623	-0.126651957	0.244098549
DCAF5	8816	0.113054744	0.244103434
EIF2S2	8894	-0.108313579	0.244118577
NPL	80896	-0.172662678	0.244123367
NOMO2	283820	-0.170082892	0.244123367
ZNF8	7554	0.177180673	0.244126613
TRIM25	7706	-0.125177527	0.24417089
CLEC10A	10462	0.372105631	0.244310144
ME3	10873	-0.222591011	0.244310144
OPRL1	4987	0.224833579	0.244310144
CMAS	55907	0.202063922	0.244615826
RGS19	10287	-0.132520773	0.244727948
PRMT2	3275	0.1175266	0.244782727
ZNF646	9726	0.126629056	0.245017372
IFITM2	10581	0.239674327	0.245017643
POLR3G	10622	-0.198846067	0.245118402
LMTK2	22853	0.143686366	0.245349015
AKT1S1	84335	0.118241452	0.245454938
LIMS1	3987	0.159384822	0.245510984
CTTN	2017	0.129443012	0.245955198
TKT	7086	-0.162050691	0.246013167
FAM21C	253725	-0.124268861	0.246050954
CTSC	1075	-0.190365896	0.246068692
ZNF519	162655	-0.189800022	0.246092233
CWC25	54883	-0.132516782	0.24620985
HDAC11	79885	-0.166078979	0.246257347
GULP1	51454	0.297492658	0.246337415
AADAC	13	0.383468167	0.246392454
ACSM3	6296	-0.309461881	0.246450523
C3orf15	89876	-0.264126551	0.246480162
DSCR8	84677	-0.929756032	0.246585495
ZNF701	55762	-0.171812769	0.246585495
SETDB2	83852	0.126162871	0.246618322
PSMD8	5714	-0.177833655	0.246618322
TMEM128	85013	-0.145496667	0.246618322
EFHB	151651	-0.454117866	0.246618322
KBTBD8	84541	-0.201491032	0.24696451
COMMD10	51397	-0.163729089	0.247063963
AHCYL2	23382	0.149870397	0.247425614
AUTS2	26053	0.171701387	0.247425922
PURA	5813	0.13360597	0.247425922
PBXIP1	57326	0.159197933	0.247543986
CST6	1474	0.384125962	0.247560188
CCDC64	92558	-0.248930615	0.247673239
SYNGAP1	8831	0.180649166	0.247673239
RPRD1B	58490	0.11454005	0.247782037
TUBE1	51175	-0.150781726	0.247782437
SYF2	25949	-0.108561573	0.248096054
C12orf24	29902	-0.186557132	0.248157141
RPE	6120	-0.110922459	0.248157141
PUS7L	83448	-0.137295136	0.248276197
AHDC1	27245	0.186609407	0.248276197
NPFFR1	64106	-0.364334564	0.248609818
LASS4	79603	0.235594711	0.248609818
ABCC5	10057	0.160224947	0.248728191
STXBP1	6812	0.160567869	0.248821718
CYTSB	92521	-0.212509803	0.248876142
PPIL6	285755	-0.227997868	0.249154307
CHST1	8534	0.323655166	0.24928848
BPTF	2186	0.129135827	0.24944938
AKR1C3	8644	-0.345636229	0.249490229
LRRC46	90506	-0.350632183	0.249573622
CHERP	10523	-0.146557383	0.249793047
ARHGEF35	445328	-0.176088658	0.24980977
C9orf91	203197	-0.131635589	0.24980977
RXRB	6257	-0.111887993	0.249832119
PLEKHG5	57449	0.176222712	0.249843317
ZNF273	10793	-0.157756809	0.24992533
CHD9	80205	0.135600395	0.249928954
SETD4	54093	-0.124477692	0.25013493
NEIL1	79661	-0.249471237	0.250315622
MED28	80306	-0.151289602	0.250329284
C18orf10	25941	-0.16907089	0.250558682
C10orf78	119392	-0.155446602	0.250590225
SULT1C4	27233	0.355834569	0.250590225
DPY19L2P2	349152	0.305604964	0.250590225
ANKS1B	56899	0.291292851	0.250823563
ING5	84289	0.147469052	0.250902034
ZDHHC3	51304	0.096549701	0.251089891
EIF3L	51386	0.156833645	0.251089891
FAIM2	23017	-0.462947303	0.2511781
CDC34	997	-0.137793659	0.251198562
KGFLP1	387628	-0.49602494	0.251260667
C8orf41	80185	-0.140401563	0.25177956
NAT6	24142	-0.156836445	0.25177956
KCNS3	3790	-0.297058495	0.251812431
STT3A	3703	-0.120087697	0.251920215
CAPZA2	830	-0.126047117	0.251920215
C20orf54	113278	-0.176432248	0.25208319
GPR115	221393	0.432000094	0.25208319
CD320	51293	-0.190895209	0.252160939
UBE2D1	7321	-0.115969562	0.252160939
MAN2B1	4125	-0.17313462	0.252165538
MS4A1	931	-0.514412044	0.252191595
ECSIT	51295	-0.186296693	0.252308615
CDKN2D	1032	-0.230210466	0.252308615
ACP1	52	-0.13110613	0.252308615
CEP120	153241	0.133771243	0.252401382
KTN1	3895	-0.119019676	0.252401382
CIAPIN1	57019	-0.12022169	0.252667535
NCALD	83988	0.253755283	0.252670667
NEB	4703	0.363665812	0.252849148
ABCA17P	650655	-0.304634631	0.252850161
HSPA7	3311	-0.259318732	0.253350304
MS4A8B	83661	-0.67714107	0.25343006
TBC1D4	9882	0.17541562	0.253543223
ADM	133	0.287440462	0.253609954
DLX3	1747	0.353520281	0.253682382
C19orf36	113177	-0.258733478	0.253715378
BTD	686	-0.152653902	0.253728482
RNF216L	441191	0.138806724	0.253841289
PTOV1	53635	0.120019768	0.254044665
TIMM22	29928	-0.140752192	0.254270157
PEX14	5195	-0.109842729	0.254330036
NUDT21	11051	-0.114664979	0.254437419
TRMT61B	55006	-0.118487497	0.25443902
CXorf30	645090	-0.512216118	0.254789227
DHRS12	79758	0.17211019	0.254804934
MAGI2	9863	0.186297493	0.255022475
PANK2	80025	-0.114105932	0.255082819
CATSPER2P1	440278	-0.168080136	0.255242987
JUP	3728	-0.143856867	0.25528937
D2HGDH	728294	0.181158529	0.255390922
NSUN6	221078	-0.138374177	0.255499285
KIAA2013	90231	-0.11891671	0.255499285
PDE4A	5141	0.221380278	0.255540914
RUNDC1	146923	-0.109304971	0.255611604
HLCS	3141	0.128288905	0.255611604
SARS	6301	-0.1068884	0.255645785
C13orf38	728591	-0.33293218	0.255959328
RPS16	6217	-0.217721593	0.256123401
GARS	2617	0.131561647	0.256123401
EDN3	1908	0.701884997	0.256125825
BTBD9	114781	0.142690988	0.256334767
CLYBL	171425	-0.202331963	0.256665547
ZNF502	91392	-0.218580808	0.256665547
AVEN	57099	0.147623936	0.256780223
PLGLB2	5342	0.21627552	0.257139011
PKN2	5586	-0.109592742	0.257244257
RNF111	54778	0.118118415	0.257265816
LRRFIP1	9208	0.134671457	0.257332668
ZNF41	7592	-0.14906842	0.257332668
AAAS	8086	-0.102668677	0.257340141
CDH1	999	-0.17929988	0.257340141
ALDH3B1	221	-0.229083285	0.257341977
AAGAB	79719	-0.116549607	0.257597939
REEP6	92840	0.290915761	0.257666061
TMBIM4	51643	-0.136104836	0.25768837
BBS5	129880	-0.135453652	0.257811428
ART5	116969	-0.314082501	0.258077531
DEDD	9191	-0.094015738	0.258241808
EID2	163126	0.181983403	0.258286026
PAQR6	79957	0.265435303	0.258286026
ENO1	2023	-0.15264682	0.258286026
FBXW5	54461	-0.135298642	0.258333914
ERMP1	79956	-0.170038062	0.258370427
C15orf29	79768	-0.127261835	0.258378117
TMEM123	114908	0.168020418	0.258403488
WNT3A	89780	-0.421159287	0.258413865
TRNP1	388610	-0.266789637	0.258452881
GOT2	2806	-0.127422464	0.258452881
BCL3	602	-0.211681663	0.258461003
DACH2	117154	-0.648403003	0.258727028
GNA13	10672	-0.109822757	0.258815781
CNKSR2	22866	0.373579425	0.258844164
MKL1	57591	0.127878483	0.259070881
SLC9A7	84679	-0.188391406	0.259070881
ANKRD2	26287	-0.490536308	0.259172276
UNC13A	23025	0.378421386	0.259172276
PDIK1L	149420	-0.117705981	0.259467653
ZNF426	79088	0.169419138	0.259467653
EPHB6	2051	0.232167674	0.259637982
NXPH4	11247	0.394887555	0.259637982
HIST4H4	121504	-0.24127483	0.259703788
ESRP1	54845	-0.164254205	0.259726469
ZNF700	90592	-0.160118143	0.260024305
RPS5	6193	-0.207018738	0.260144761
MAST1	22983	-0.272069014	0.260205992
SULT2B1	6820	0.379834944	0.260268146
CEP57	9702	-0.123700919	0.260457652
NPY1R	4886	0.541195544	0.260457652
PMS2L11	441263	-0.187615376	0.260737128
TNKS	8658	0.159803335	0.260737128
CES8	283848	-0.349186307	0.260737128
WDR91	29062	-0.155265819	0.260737128
SCARNA17	677769	0.278880068	0.260784433
